ISOCode3,M49_Code,Contributing_Country,Personnel_Contribution_Rank,Female_Personnel,Male_Personnel,Total_Uniformed_Personnel,Last_Reporting_Date
BGD,50,Bangladesh,1,317,6394,6711,31-Jan-21
RWA,646,Rwanda,2,585,5793,6378,31-Jan-21
ETH,231,Ethiopia,3,708,5589,6297,31-Jan-21
NPL,524,Nepal,4,330,5381,5711,31-Jan-21
IND,356,India,5,98,5331,5429,31-Jan-21
PAK,586,Pakistan,6,67,4694,4761,31-Jan-21
EGY,818,Egypt,7,86,3068,3154,31-Jan-21
IDN,360,Indonesia,8,190,2635,2825,31-Jan-21
CHN,156,China,9,77,2388,2465,31-Jan-21
GHA,288,Ghana,10,361,1936,2297,31-Jan-21
SEN,686,Senegal,11,178,2059,2237,31-Jan-21
TCD,148,Chad,12,50,1793,1843,31-Jan-21
TZA,834,United Republic of Tanzania,13,149,1610,1759,31-Jan-21
MAR,504,Morocco,14,49,1661,1710,31-Jan-21
TGO,768,Togo,15,141,1317,1458,31-Jan-21
BFA,854,Burkina Faso,16,85,1372,1457,31-Jan-21
ITA,380,Italy,17,48,1111,1159,31-Jan-21
URY,858,Uruguay,18,83,1075,1158,31-Jan-21
CMR,120,Cameroon,19,125,977,1102,31-Jan-21
ZAF,710,South Africa,20,181,907,1088,31-Jan-21
ZMB,894,Zambia,21,159,848,1007,31-Jan-21
NER,562,Niger,22,45,944,989,31-Jan-21
CIV,384,Côte d’Ivoire,23,73,817,890,31-Jan-21
MNG,496,Mongolia,24,62,824,886,31-Jan-21
MYS,458,Malaysia,25,44,798,842,31-Jan-21
BDI,108,Burundi,26,32,737,769,31-Jan-21
KHM,116,Cambodia,27,89,669,758,31-Jan-21
MRT,478,Mauritania,28,4,748,752,31-Jan-21
MWI,454,Malawi,29,87,643,730,31-Jan-21
GIN,324,Guinea,30,56,648,704,31-Jan-21
LKA,144,Sri Lanka,31,12,644,656,31-Jan-21
UGA,800,Uganda,32,60,590,650,31-Jan-21
ESP,724,Spain,33,53,590,643,31-Jan-21
FRA,250,France,34,50,573,623,31-Jan-21
DEU,276,Germany,35,42,502,544,31-Jan-21
GBR,826,United Kingdom of Great Britain and Northern Ireland,36,39,490,529,31-Jan-21
KOR,410,Republic of Korea,37,27,501,528,31-Jan-21
IRL,372,Ireland,38,44,477,521,31-Jan-21
JOR,400,Jordan,39,10,496,506,31-Jan-21
BEN,204,Benin,40,44,438,482,31-Jan-21
GAB,266,Gabon,41,47,402,449,31-Jan-21
NGA,566,Nigeria,42,75,252,327,31-Jan-21
FJI,242,Fiji,43,30,294,324,31-Jan-21
UKR,804,Ukraine,44,8,297,305,31-Jan-21
THA,764,Thailand,45,12,289,301,31-Jan-21
ARG,32,Argentina,46,25,248,273,31-Jan-21
SRB,688,Serbia,47,42,218,260,31-Jan-21
SLV,222,El Salvador,48,23,227,250,31-Jan-21
SVK,703,Slovakia,49,26,223,249,31-Jan-21
SWE,752,Sweden,50,33,198,231,31-Jan-21
GMB,270,Gambia,51,32,194,226,31-Jan-21
PER,604,Peru,52,34,184,218,31-Jan-21
POL,616,Poland,53,16,193,209,31-Jan-21
PRT,620,Portugal,54,9,191,200,31-Jan-21
FIN,246,Finland,55,12,184,196,31-Jan-21
AUT,40,Austria,56,8,186,194,31-Jan-21
DJI,262,Djibouti,57,8,174,182,31-Jan-21
TUN,788,Tunisia,58,12,163,175,31-Jan-21
GTM,320,Guatemala,59,18,155,173,31-Jan-21
LBR,430,Liberia,60,27,143,170,31-Jan-21
KEN,404,Kenya,61,35,127,162,31-Jan-21
COG,178,Congo,62,21,127,148,31-Jan-21
NOR,578,Norway,63,21,113,134,31-Jan-21
KAZ,398,Kazakhstan,64,1,127,128,31-Jan-21
TUR,792,Turkey,65,3,119,122,31-Jan-21
GRC,300,Greece,66,19,92,111,31-Jan-21
SLE,694,Sierra Leone,67,30,66,96,31-Jan-21
ZWE,716,Zimbabwe,68,28,61,89,31-Jan-21
VNM,704,Viet Nam,69,12,63,75,31-Jan-21
BRA,76,Brazil,70,9,59,68,31-Jan-21
RUS,643,Russian Federation,71,11,51,62,31-Jan-21
BEL,56,Belgium,72,3,52,55,31-Jan-21
ROU,642,Romania,73,12,40,52,31-Jan-21
LTU,440,Lithuania,74,5,42,47,31-Jan-21
CAN,124,Canada,75,9,33,42,31-Jan-21
CHE,756,Switzerland,76,5,34,39,31-Jan-21
BTN,64,Bhutan,77,4,31,35,31-Jan-21
ARM,51,Armenia,78,2,32,34,31-Jan-21
AUS,36,Australia,79,5,26,31,31-Jan-21
BRN,96,Brunei Darussalam,80,0,30,30,31-Jan-21
USA,840,United States of America,80,4,26,30,31-Jan-21
NAM,516,Namibia,82,4,25,29,31-Jan-21
PRY,600,Paraguay,82,4,25,29,31-Jan-21
BOL,68,Bolivia (Plurinational State of),84,7,21,28,31-Jan-21
NLD,528,Netherlands,85,4,19,23,31-Jan-21
HUN,348,Hungary,86,4,18,22,31-Jan-21
MLI,466,Mali,86,3,19,22,31-Jan-21
BIH,70,Bosnia and Herzegovina,88,9,12,21,31-Jan-21
WSM,882,Samoa,89,1,18,19,31-Jan-21
HND,340,Honduras,90,4,11,15,31-Jan-21
MEX,484,Mexico,90,7,8,15,31-Jan-21
CZE,203,Czechia,92,4,10,14,31-Jan-21
HRV,191,Croatia,93,2,11,13,31-Jan-21
KGZ,417,Kyrgyzstan,93,0,13,13,31-Jan-21
DNK,208,Denmark,95,0,12,12,31-Jan-21
NZL,554,New Zealand,95,4,8,12,31-Jan-21
ECU,218,Ecuador,97,4,7,11,31-Jan-21
MDG,450,Madagascar,97,1,10,11,31-Jan-21
MLT,470,Malta,97,0,11,11,31-Jan-21
CHL,152,Chile,100,1,9,10,31-Jan-21
PHL,608,Philippines,100,6,4,10,31-Jan-21
MDA,498,Republic of Moldova,100,2,8,10,31-Jan-21
SVN,705,Slovenia,103,0,8,8,31-Jan-21
BLR,112,Belarus,104,3,4,7,31-Jan-21
DOM,214,Dominican Republic,104,2,5,7,31-Jan-21
TJK,762,Tajikistan,104,0,7,7,31-Jan-21
EST,233,Estonia,107,3,3,6,31-Jan-21
COL,170,Colombia,108,2,3,5,31-Jan-21
JPN,392,Japan,109,1,3,4,31-Jan-21
TLS,626,Timor-Leste,109,2,2,4,31-Jan-21
MNE,499,Montenegro,111,1,2,3,31-Jan-21
MKD,807,North Macedonia,111,0,3,3,31-Jan-21
ALB,8,Albania,113,2,0,2,31-Jan-21
DZA,12,Algeria,113,0,2,2,31-Jan-21
AZE,31,Azerbaijan,113,0,2,2,31-Jan-21
BGR,100,Bulgaria,113,0,2,2,31-Jan-21
CYP,196,Cyprus,113,0,2,2,31-Jan-21
IRN,364,Iran (Islamic Republic of),113,0,2,2,31-Jan-21
LUX,442,Luxembourg,113,0,2,2,31-Jan-21
PNG,598,Papua New Guinea,113,0,2,2,31-Jan-21
LVA,428,Latvia,121,0,1,1,31-Jan-21
QAT,634,Qatar,121,0,1,1,31-Jan-21

